PLAYER_ID,PLAYER_NAME,TEAM,PROJECTED_AGE,PROJECTED_TS_PCT,HDI_LOW,HDI_HIGH
1629020,Jarred Vanderbilt,LAL,28.0,0.5896369373813937,0.5583229708182941,0.6194014651069285
1630572,Sandro Mamukelashvili,TOR,28.0,0.5893961688508828,0.559820699231813,0.6197080274014533
1630532,Franz Wagner,ORL,25.0,0.5892227893030895,0.5601059166240606,0.6207839870026177
1641774,Tristan Vukcevic,WAS,24.0,0.5891809510987903,0.5500315621380535,0.6261735790529437
1642920,Kobe Sanders,LAC,25.0,0.5890693635038943,0.5330095133143703,0.6463356291966477
1628973,Jalen Brunson,NYK,30.0,0.5890042894058243,0.5595986766735248,0.6207402610712587
1627752,Taurean Prince,MIL,33.0,0.5882532527692265,0.5600342496146443,0.6187622908326942
1642954,Will Richard,GSW,24.0,0.5876950789697557,0.5282307941795472,0.6410077217931365
1641730,Noah Clowney,BKN,22.0,0.5873684386107861,0.5486172065741649,0.6259032601613165
1642271,Kyle Filipowski,UTA,23.0,0.5873388409382235,0.5434020751223577,0.6324327930064416
1631157,Ryan Rollins,MIL,24.0,0.5873013574134262,0.5420743932090077,0.6288860493394808
203914,Gary Harris,MIL,32.0,0.5870929804580088,0.5561640998026289,0.6177420341101568
1628369,Jayson Tatum,BOS,29.0,0.5869525465163883,0.5562296445505034,0.6174401273927916
1628404,Josh Hart,NYK,32.0,0.5868065737026771,0.5566428004057118,0.6180029992812355
1630200,Tre Jones,CHI,27.0,0.586198344301791,0.5548440691957888,0.6165684782721992
1642928,Dylan Cardwell,SAC,25.0,0.5858302004753543,0.5304362431325901,0.6409862344736204
1629636,Darius Garland,LAC,27.0,0.5857286705900775,0.5558074948945572,0.6165198327040334
1628389,Bam Adebayo,MIA,29.0,0.5853033147470903,0.5560731467698976,0.6172015174864987
1629640,Keldon Johnson,SAS,27.0,0.5849878684711919,0.5544539911005423,0.6154906939393773
1642349,Ajay Mitchell,OKC,25.0,0.5849572134365674,0.540488089651618,0.6285690783601134
1631221,Collin Gillespie,PHX,28.0,0.58462970069595,0.5458582428840745,0.6231618918532957
1631119,Jaylin Williams,OKC,25.0,0.5844233854469756,0.5525397076527603,0.6211917741558043
203076,Anthony Davis,WAS,34.0,0.5844151755833085,0.5537951258591188,0.6156321213878534
1641717,Cason Wallace,OKC,23.0,0.5843893117378207,0.5466473129076312,0.6228975154616577
1641757,Jordan Miller,LAC,27.0,0.5839057679898154,0.5380714720137669,0.6285340520033179
1643018,LJ Cryer,GSW,25.0,0.5838899741960244,0.5265697413406105,0.6371185040598298
1641796,Pelle Larsson,MIA,26.0,0.5838584113933208,0.5399439135972275,0.6296139505415355
1630545,Terrence Shannon Jr.,MIN,26.0,0.5838379335623203,0.540182622369977,0.6281038491901603
1631245,Quenton Jackson,IND,28.0,0.583791440742119,0.5412730681428168,0.6284816452167133
1630322,Lindy Waters III,SAS,29.0,0.5837777072449668,0.5530785637385403,0.6169642035932598
1629014,Anfernee Simons,CHI,28.0,0.5837521082118327,0.5547696765501184,0.6149945082965611
1631230,Dominick Barlow,PHI,24.0,0.5836491086050617,0.5507809881902014,0.6173697741656534
1641871,Duop Reath,POR,31.0,0.5836134254983865,0.5436690169039131,0.6203708713177803
1629632,Coby White,CHA,27.0,0.583421850893264,0.5529993618726436,0.6140410914729038
1629622,Max Strus,CLE,31.0,0.5828734975777982,0.5519957272231028,0.6127003079720318
1629639,Tyler Herro,MIA,27.0,0.5826487547262875,0.5509977557870226,0.6108412037995054
1628370,Malik Monk,SAC,29.0,0.5825384665397084,0.5531688738474868,0.61315487206324
1628989,Kevin Huerter,DET,28.0,0.5823046164278538,0.5526247924682,0.6113109160525677
1631108,Max Christie,DAL,24.0,0.5822217726962144,0.5493467469345004,0.6170263020403797
1630552,Jalen Johnson,ATL,25.0,0.5821274032599518,0.5485938789882858,0.6148935896293898
201935,James Harden,CLE,37.0,0.5818820106340888,0.5511621120901236,0.6123802544851594
1629130,Duncan Robinson,DET,33.0,0.5816232284497008,0.5515676961434431,0.6114629836015031
1641824,Matas Buzelis,CHI,22.0,0.5813297432130728,0.5350631172625554,0.6245596772546413
1629656,Quentin Grimes,PHI,27.0,0.58117045469175,0.550094465354489,0.6112728518485473
201587,Nicolas Batum,LAC,38.0,0.5810535343552106,0.5485371073982608,0.611163062967584
